countyname_fips,state,fipscounty,fy2023cbsa,fy2023cbsaname,ssa_code,state_name,countyname_rate
AUTAUGA,AL,01001,33860.0,"Montgomery, AL",,,
BALDWIN,AL,01003,19300.0,"Daphne-Fairhope-Foley, AL",,,
BARBOUR,AL,01005,,,01020,ALABAMA,BARBOUR
BIBB,AL,01007,13820.0,"Birmingham-Hoover, AL",01030,ALABAMA,BIBB
BLOUNT,AL,01009,13820.0,"Birmingham-Hoover, AL",01040,ALABAMA,BLOUNT
BULLOCK,AL,01011,,,01050,ALABAMA,BULLOCK
BUTLER,AL,01013,,,01060,ALABAMA,BUTLER
CALHOUN,AL,01015,11500.0,"Anniston-Oxford, AL",01070,ALABAMA,CALHOUN
CHAMBERS,AL,01017,,,01080,ALABAMA,CHAMBERS
CHEROKEE,AL,01019,,,01090,ALABAMA,CHEROKEE
CHILTON,AL,01021,13820.0,"Birmingham-Hoover, AL",01100,ALABAMA,CHILTON
CHOCTAW,AL,01023,,,01110,ALABAMA,CHOCTAW
CLARKE,AL,01025,,,01120,ALABAMA,CLARKE
CLAY,AL,01027,,,01130,ALABAMA,CLAY
CLEBURNE,AL,01029,,,01140,ALABAMA,CLEBURNE
COFFEE,AL,01031,,,01150,ALABAMA,COFFEE
COLBERT,AL,01033,22520.0,"Florence-Muscle Shoals, AL",01160,ALABAMA,COLBERT
CONECUH,AL,01035,,,01170,ALABAMA,CONECUH
COOSA,AL,01037,,,01180,ALABAMA,COOSA
COVINGTON,AL,01039,,,01190,ALABAMA,COVINGTON
CRENSHAW,AL,01041,,,01200,ALABAMA,CRENSHAW
CULLMAN,AL,01043,,,01210,ALABAMA,CULLMAN
DALE,AL,01045,,,01220,ALABAMA,DALE
DALLAS,AL,01047,,,01230,ALABAMA,DALLAS
DE KALB,AL,01049,,,01240,ALABAMA,DEKALB
ELMORE,AL,01051,33860.0,"Montgomery, AL",01250,ALABAMA,ELMORE
ESCAMBIA,AL,01053,,,01260,ALABAMA,ESCAMBIA
ETOWAH,AL,01055,23460.0,"Gadsden, AL",01270,ALABAMA,ETOWAH
