60810001131292801500121523910000004231211211&3000001121013720         41 4331523
60820001000000000000000005000040065000553 0000000000000000000000000          123
60830001516100003000035439705500000050000005000000                            23
6084000111115222521256511165495131081050000500005000000182495                 23
60850001500000000000000000000000000000000000000000000000000000000             23
60860001500005000000000000000                                                 23
6087000155000007000040000000000000800000355                                   23
6089000110426405000000000000005150004264515004454130042643550003819540677     23
608A000112262230000000005155555125001285000005000005006005335000728100301727  23
608B00011000401150050000050005000000000109                                    23
608N0001500024135500322355835057500000524955000000500000500000&0250502495555  23
608S00013021350000000000000000000000000050004264545000381941330007285        123
608T000111000401111115222522565111655039 0000                                123
6081000215613180110011151561000000761111215001000009405006120         42 4900246
60820002000000000000000005000040010000511 0000000000000000000000000          146
60830002356100009360090000905500000050000005000000                            46
6084000211223623470000000000000000000000000500005000000880100                 46
60850002500000000000000000000000000000000000000000000000000000000             46
60860002500005000000000000000                                                 46
6087000253000002000090000000000000000000055                                   46
6089000250000001001250000000045150001135225000000140014404250001135522022     46
608A000200000006300000005555555505000005000005000005000005005000000000000001  46
608B00025000005750050000050005000000000009                                    46
608N00025000010053000100517150095000005010050000005000005000000-150500100555  46
608S00023010150000000000000000000000000050001135205000113521400000005        146
608T000215000005711223623470000000005016 0000                                146
6081000314425240192011150561000000523111121234000001121015620         42 2321625
60820003351000030100500005000010000705104 1000050450000450050550046          125
60830003111100001110075200305500000050000005000000                            25
60840003111152315242425117005050311630000005000011-0008002540                 25
60850003165000500000005000010185112805000106004651035045----04054             25
60860003100505000000000000000                                                 25
6087000357000008000040000000000000800000855                                   25
6089000310500005000000000000005150005000615004614140048003550004539550788     25
608A0003224245-0000000005555515505000005000005002005000005235000200002000415  25
608B00031001751150050000050005000000000309                                    25
608N0003500062105701274057855124510000525405000000500000500000&0357512540555  25
608S00033022416046510185500050005000128050005000645000453951420002005        125
608T000311001751111115231522425117001144 0405                                125
608100041871118019001115055100000-761111225002000009500004720         44 4600246
60820004000000000000000005000010000406102 0550060550000550030000019          146
608300043---00003360043400905500000050000005000000                            46
6084000450000000000000000000000000000000000500005000000880000                 46
60850004500000000000000000000000000000000000000000000000000000000             46
60860004500005000000000000000                                                 46
60870004500000020000-0000000000000000000855                                   46
608900045000000500000000000004515000104122500000014-00000--50001041520022     46
608A00040000000--00000005555555505000005000005000005000005005000000000000001  46
608B00041000411150050000050005000000000109                                    46
608N00045000000050005500561050005055005000050000005000005000000&156505500555  46
608S00043020250000000000000000000000000050001041205000104121400000005        146
608T000411000411150000000000000000005016 0000                                146
6081000517560100190011250071000000741111221365000008880006620         42 5528347
60820005&0000000000000000-0000-000000-9-- 0000000000000000000000000          547
608300051815000080000---00308000000050000001170500                            47
6084000511225021525187510450425031127500000500005000000111595                 47
60850005500000000000000000000000000000000000000000000000000000000             47
60860005100755000000000000000                                                 47
6087000558000004000000000001000128800000&55                                   47
608900055000004800000000000003515000253932500000015001791125000253953&044     47
608A000500000001200000005555515505000005000005004255000005255000425002001726  47
608B00055000005750050000050005000000000009                                    47
608N0005500148445802664058895585524620515955000000500000500000&0157526215555  47
608S00053023550000000000000000000000000050002539305000253931520004255        147
608T000515000005711225021521875104505027 0000                                147
6081000614421240191011150561000000761111145004000009400005620         42 2620325
60820006000000000000000005000010000400104 0350090000000000020350030          125
60830006555700003360023918125500000050000005000000                            25
60840006112240--51000000000000000000005000050000500000088-000                 25
60850006500000000000000000000000000000000000000000000000000000000             25
60860006500005000000000000000                                                 25
6087000616000004000090000000000000000000055                                   25
608900061020000500000000000003515000252031500000015-000005450002520530544     25
608A000600000001100000005155555505004275000005000005000005255000427200001726  25
608B00061000401150050000050005000000000109                                    25
608N000610004122160041221566116450350010195500000050000050000090155103695511  25
608S00063040450000000000000000000000000050002520305000252031520004275        125
608T0006110004011112240--510000000005022 0000                                125
6081000716426260150011150061000000213111125002000000000006220         42 3217326
60820007000000000000000005000040047000542 0000000000000000000000000          126
60830007511161003000045565125500000050000005000000                            26
6084000711114012400000000000000000000000000500005000000160215                 26
60850007135000500000005000050000150255300500001751001059----01752             26
60860007500005000000000000000                                                 26
6087000753000004000010000000000000200000155                                   26
6089000710223005000000020000005150002415325002164120018501250002199530544     26
608A000700000001100000005155515505000215000005000725000005115000093101000414  26
608B00075000001250050000050005000000000809                                    26
608N000750000298530003085151501250000050215500000050000050000072150500215555  26
608S00073020213017550000500050005000102550002415345000219931210000935        126
608T000715000001211114012400000000005022 0175                                126
6081000815005750100011151015155400022111115001000006121018120         23 3107431
60820008000000000000000005000040043000541 0000000000000000000000000          131
60830008311139001110023900125321000050000005000000                            31
60840008500000000000000000000000000000000005000032-0009000000                 31
6085000814500015000263500005000050000500050000263500003-----02633             31
60860008500005000000000000000                                                 31
6087000852000005000040000001000200300000255                                   31
608900081033650500000000000000515000336541500408412-000003450002957530655     31
